country,powertrain,year,value
Europe,Publicly available fast,2011,24.0
Europe,Publicly available fast,2012,160.0
Europe,Publicly available slow,2012,16000.0
Europe,Publicly available slow,2013,25000.0
Europe,Publicly available fast,2013,780.0
Europe,Publicly available fast,2014,1400.0
Europe,Publicly available slow,2014,37000.0
Europe,Publicly available slow,2015,59000.0
Europe,Publicly available fast,2015,3800.0
Europe,Publicly available fast,2016,5700.0
Europe,Publicly available slow,2016,94000.0
Europe,Publicly available slow,2017,110000.0
Europe,Publicly available fast,2017,9300.0
Europe,Publicly available fast,2018,13000.0
Europe,Publicly available slow,2018,130000.0
Europe,Publicly available slow,2019,170000.0
Europe,Publicly available fast,2019,20000.0
Europe,Publicly available fast,2020,30000.0
Europe,Publicly available slow,2020,220000.0
Europe,Publicly available slow,2021,310000.0
Europe,Publicly available fast,2021,43000.0
Finland,Publicly available fast,2013,17.0
Finland,Publicly available slow,2013,250.0
Finland,Publicly available fast,2014,26.0
Finland,Publicly available slow,2014,360.0
Finland,Publicly available fast,2015,130.0
Finland,Publicly available slow,2015,710.0
Finland,Publicly available fast,2016,140.0
Finland,Publicly available slow,2016,710.0
Finland,Publicly available fast,2017,140.0
Finland,Publicly available slow,2017,710.0
Finland,Publicly available fast,2018,220.0
Finland,Publicly available slow,2018,710.0
Finland,Publicly available fast,2019,340.0
Finland,Publicly available slow,2019,1800.0
Finland,Publicly available fast,2020,410.0
Finland,Publicly available slow,2020,3900.0
Finland,Publicly available fast,2021,770.0
Finland,Publicly available slow,2021,5800.0
France,Publicly available fast,2012,9.0
France,Publicly available slow,2012,800.0
France,Publicly available fast,2013,100.0
France,Publicly available slow,2013,1700.0
France,Publicly available fast,2014,110.0
France,Publicly available slow,2014,1700.0
France,Publicly available fast,2015,580.0
France,Publicly available slow,2015,9900.0
France,Publicly available fast,2016,1000.0
France,Publicly available slow,2016,19000.0
France,Publicly available fast,2017,1000.0
France,Publicly available slow,2017,20000.0
France,Publicly available fast,2018,1700.0
France,Publicly available slow,2018,23000.0
France,Publicly available fast,2019,2000.0
France,Publicly available slow,2019,28000.0
France,Publicly available fast,2020,3300.0
France,Publicly available slow,2020,31000.0
France,Publicly available fast,2021,4500.0
France,Publicly available slow,2021,50000.0
Germany,Publicly available fast,2012,18.0
Germany,Publicly available slow,2012,1500.0
Germany,Publicly available fast,2013,47.0
Germany,Publicly available slow,2013,2400.0
Germany,Publicly available fast,2014,120.0
Germany,Publicly available slow,2014,2600.0
Germany,Publicly available fast,2015,470.0
Germany,Publicly available slow,2015,4600.0
Germany,Publicly available fast,2016,630.0
Germany,Publicly available slow,2016,5800.0
Germany,Publicly available fast,2017,1400.0
Germany,Publicly available slow,2017,9400.0
Germany,Publicly available fast,2018,2500.0
Germany,Publicly available slow,2018,17000.0
Germany,Publicly available fast,2019,3900.0
Germany,Publicly available slow,2019,26000.0
Germany,Publicly available fast,2020,6200.0
Germany,Publicly available slow,2020,37000.0
Germany,Publicly available fast,2021,9300.0
Germany,Publicly available slow,2021,50000.0
Greece,Publicly available slow,2013,10.0
Greece,Publicly available fast,2014,2.0
Greece,Publicly available slow,2014,14.0
Greece,Publicly available fast,2015,2.0
Greece,Publicly available slow,2015,14.0
Greece,Publicly available fast,2016,2.0
Greece,Publicly available slow,2016,15.0
Greece,Publicly available fast,2017,2.0
Greece,Publicly available slow,2017,22.0
Greece,Publicly available fast,2018,10.0
Greece,Publicly available slow,2018,31.0
Greece,Publicly available fast,2019,10.0
Greece,Publicly available slow,2019,63.0
Greece,Publicly available fast,2020,14.0
Greece,Publicly available slow,2020,220.0
Greece,Publicly available fast,2021,100.0
Greece,Publicly available slow,2021,1200.0
Iceland,Publicly available fast,2014,6.0
Iceland,Publicly available fast,2015,11.0
Iceland,Publicly available slow,2015,11.0
Iceland,Publicly available fast,2016,40.0
Iceland,Publicly available slow,2016,11.0
Iceland,Publicly available fast,2017,36.0
Iceland,Publicly available slow,2017,32.0
Iceland,Publicly available fast,2018,55.0
Iceland,Publicly available slow,2018,40.0
Iceland,Publicly available fast,2019,150.0
Iceland,Publicly available slow,2019,110.0
Iceland,Publicly available fast,2020,190.0
Iceland,Publicly available slow,2020,290.0
Iceland,Publicly available fast,2021,120.0
Iceland,Publicly available slow,2021,560.0
India,Publicly available fast,2016,25.0
India,Publicly available fast,2017,25.0
India,Publicly available slow,2017,220.0
India,Publicly available fast,2018,25.0
India,Publicly available slow,2018,330.0
India,Publicly available fast,2019,25.0
India,Publicly available slow,2019,330.0
India,Publicly available fast,2020,25.0
India,Publicly available slow,2020,330.0
India,Publicly available fast,2021,32.0
India,Publicly available slow,2021,910.0
Indonesia,Publicly available fast,2020,51.0
Indonesia,Publicly available slow,2020,50.0
Indonesia,Publicly available fast,2021,130.0
Indonesia,Publicly available slow,2021,54.0
Israel,Publicly available fast,2015,0.1000000015
Israel,Publicly available slow,2015,0.1000000015
Israel,Publicly available fast,2016,0.1000000015
Israel,Publicly available slow,2016,0.1000000015
Israel,Publicly available fast,2017,0.1000000015
Israel,Publicly available slow,2017,0.1000000015
Israel,Publicly available fast,2018,0.1000000015
Israel,Publicly available slow,2018,0.1000000015
Israel,Publicly available fast,2019,0.1000000015
Israel,Publicly available slow,2019,0.1000000015
Israel,Publicly available fast,2020,0.1000000015
Israel,Publicly available fast,2021,0.1000000015
Italy,Publicly available fast,2012,1.0
Italy,Publicly available slow,2012,1400.0
Italy,Publicly available fast,2013,6.0
Italy,Publicly available slow,2013,1400.0
Italy,Publicly available fast,2014,10.0
Italy,Publicly available slow,2014,1400.0
Italy,Publicly available fast,2015,70.0
Italy,Publicly available slow,2015,1700.0
Italy,Publicly available fast,2016,170.0
Italy,Publicly available slow,2016,2300.0
Italy,Publicly available fast,2017,390.0
Italy,Publicly available slow,2017,2400.0
Italy,Publicly available fast,2018,570.0
Italy,Publicly available slow,2018,2900.0
Italy,Publicly available fast,2019,860.0
Italy,Publicly available slow,2019,8300.0
Italy,Publicly available fast,2020,1200.0
Italy,Publicly available slow,2020,12000.0
Italy,Publicly available fast,2021,2200.0
Italy,Publicly available slow,2021,20000.0
Japan,Publicly available fast,2010,310.0
Japan,Publicly available fast,2011,800.0
Japan,Publicly available fast,2012,1400.0
Japan,Publicly available fast,2013,1800.0
Japan,Publicly available fast,2014,2900.0
Japan,Publicly available slow,2014,8600.0
Japan,Publicly available fast,2015,6000.0
Japan,Publicly available slow,2015,16000.0
Japan,Publicly available fast,2016,7100.0
Japan,Publicly available slow,2016,17000.0
Japan,Publicly available fast,2017,7300.0
Japan,Publicly available slow,2017,22000.0
Japan,Publicly available fast,2018,7700.0
Japan,Publicly available slow,2018,22000.0
Japan,Publicly available fast,2019,7900.0
Japan,Publicly available slow,2019,23000.0
Japan,Publicly available fast,2020,7900.0
Japan,Publicly available slow,2020,22000.0
Japan,Publicly available fast,2021,8000.0
Japan,Publicly available slow,2021,21000.0
Korea,Publicly available fast,2016,920.0
Korea,Publicly available slow,2016,1100.0
Korea,Publicly available fast,2017,3300.0
Korea,Publicly available slow,2017,10000.0
Korea,Publicly available fast,2018,5200.0
Korea,Publicly available slow,2018,22000.0
Korea,Publicly available fast,2019,7400.0
Korea,Publicly available slow,2019,37000.0
Korea,Publicly available fast,2020,9800.0
Korea,Publicly available slow,2020,37000.0
Korea,Publicly available fast,2021,15000.0
Korea,Publicly available slow,2021,92000.0
Mexico,Publicly available slow,2015,83.0
Mexico,Publicly available fast,2016,6.0
Mexico,Publicly available slow,2016,240.0
Mexico,Publicly available fast,2017,50.0
Mexico,Publicly available slow,2017,700.0
Mexico,Publicly available fast,2018,76.0
Mexico,Publicly available slow,2018,1100.0
Mexico,Publicly available fast,2019,76.0
Mexico,Publicly available slow,2019,1100.0
Mexico,Publicly available fast,2020,76.0
Mexico,Publicly available slow,2020,1100.0
Mexico,Publicly available fast,2021,76.0
Mexico,Publicly available slow,2021,1100.0
Netherlands,Publicly available slow,2010,400.0
Netherlands,Publicly available slow,2011,400.0
Netherlands,Publicly available fast,2012,21.0
Netherlands,Publicly available slow,2012,2800.0
Netherlands,Publicly available fast,2013,21.0
Netherlands,Publicly available slow,2013,5800.0
Netherlands,Publicly available fast,2014,120.0
Netherlands,Publicly available slow,2014,12000.0
Netherlands,Publicly available fast,2015,220.0
Netherlands,Publicly available slow,2015,18000.0
Netherlands,Publicly available fast,2016,400.0
Netherlands,Publicly available slow,2016,32000.0
Netherlands,Publicly available fast,2017,410.0
Netherlands,Publicly available slow,2017,33000.0
Netherlands,Publicly available fast,2018,820.0
Netherlands,Publicly available slow,2018,36000.0
Netherlands,Publicly available fast,2019,1300.0
Netherlands,Publicly available slow,2019,46000.0
Netherlands,Publicly available fast,2020,2100.0
Netherlands,Publicly available slow,2020,63000.0
Netherlands,Publicly available fast,2021,2600.0
Netherlands,Publicly available slow,2021,81000.0
New Zealand,Publicly available fast,2017,100.0
New Zealand,Publicly available fast,2018,200.0
New Zealand,Publicly available slow,2018,89.0
New Zealand,Publicly available fast,2019,260.0
New Zealand,Publicly available slow,2019,130.0
New Zealand,Publicly available fast,2020,310.0
New Zealand,Publicly available slow,2020,150.0
New Zealand,Publicly available fast,2021,430.0
New Zealand,Publicly available slow,2021,170.0
Norway,Publicly available slow,2010,2800.0
Norway,Publicly available fast,2011,18.0
Norway,Publicly available slow,2011,3100.0
Norway,Publicly available fast,2012,58.0
Norway,Publicly available slow,2012,3700.0
Norway,Publicly available fast,2013,96.0
Norway,Publicly available slow,2013,4500.0
Norway,Publicly available fast,2014,110.0
Norway,Publicly available slow,2014,5200.0
Norway,Publicly available fast,2015,330.0
Norway,Publicly available slow,2015,5200.0
Norway,Publicly available fast,2016,500.0
Norway,Publicly available slow,2016,7000.0
Norway,Publicly available fast,2017,920.0
Norway,Publicly available slow,2017,8300.0
Norway,Publicly available fast,2018,1200.0
Norway,Publicly available slow,2018,9300.0
Norway,Publicly available fast,2019,4000.0
Norway,Publicly available slow,2019,10000.0
Norway,Publicly available fast,2020,5300.0
Norway,Publicly available slow,2020,12000.0
Norway,Publicly available fast,2021,6700.0
Norway,Publicly available slow,2021,13000.0
Poland,Publicly available fast,2014,4.0
Poland,Publicly available slow,2014,120.0
Poland,Publicly available fast,2015,8.0
Poland,Publicly available slow,2015,290.0
Poland,Publicly available fast,2016,32.0
Poland,Publicly available slow,2016,290.0
Poland,Publicly available fast,2017,110.0
Poland,Publicly available slow,2017,410.0
Poland,Publicly available fast,2018,280.0
Poland,Publicly available slow,2018,490.0
Poland,Publicly available fast,2019,310.0
Poland,Publicly available slow,2019,530.0
Poland,Publicly available fast,2020,680.0
Poland,Publicly available slow,2020,1000.0
Poland,Publicly available fast,2021,1400.0
Poland,Publicly available slow,2021,2300.0
Portugal,Publicly available fast,2011,6.0
Portugal,Publicly available slow,2011,1100.0
Portugal,Publicly available fast,2012,7.0
Portugal,Publicly available slow,2012,1100.0
Portugal,Publicly available fast,2013,17.0
Portugal,Publicly available slow,2013,1200.0
Portugal,Publicly available fast,2014,17.0
Portugal,Publicly available slow,2014,1200.0
Portugal,Publicly available fast,2015,22.0
Portugal,Publicly available slow,2015,1200.0
Portugal,Publicly available fast,2016,41.0
Portugal,Publicly available slow,2016,1300.0
Portugal,Publicly available fast,2017,150.0
Portugal,Publicly available slow,2017,1500.0
Portugal,Publicly available fast,2018,180.0
Portugal,Publicly available slow,2018,1600.0
Portugal,Publicly available fast,2019,360.0
Portugal,Publicly available slow,2019,1600.0
Portugal,Publicly available fast,2020,650.0
Portugal,Publicly available slow,2020,2200.0
Portugal,Publicly available fast,2021,1400.0
Portugal,Publicly available slow,2021,2800.0
South Africa,Publicly available fast,2017,37.0
South Africa,Publicly available slow,2017,87.0
South Africa,Publicly available fast,2018,81.0
South Africa,Publicly available slow,2018,160.0
South Africa,Publicly available fast,2019,130.0
South Africa,Publicly available slow,2019,110.0
South Africa,Publicly available fast,2020,160.0
South Africa,Publicly available slow,2020,140.0
South Africa,Publicly available fast,2021,160.0
South Africa,Publicly available slow,2021,140.0
Spain,Publicly available slow,2012,400.0
Spain,Publicly available fast,2013,91.0
Spain,Publicly available slow,2013,800.0
Spain,Publicly available fast,2014,110.0
Spain,Publicly available slow,2014,800.0
Spain,Publicly available fast,2015,240.0
Spain,Publicly available slow,2015,1400.0
Spain,Publicly available fast,2016,230.0
Spain,Publicly available slow,2016,3300.0
Spain,Publicly available fast,2017,600.0
Spain,Publicly available slow,2017,4300.0
Spain,Publicly available fast,2018,620.0
Spain,Publicly available slow,2018,4400.0
Spain,Publicly available fast,2019,1000.0
Spain,Publicly available slow,2019,4500.0
Spain,Publicly available fast,2020,2100.0
Spain,Publicly available slow,2020,6000.0
Spain,Publicly available fast,2021,2600.0
Spain,Publicly available slow,2021,5600.0
Sweden,Publicly available slow,2013,5.0
Sweden,Publicly available slow,2014,1000.0
Sweden,Publicly available slow,2015,1100.0
Sweden,Publicly available slow,2016,1700.0
Sweden,Publicly available fast,2017,790.0
Sweden,Publicly available slow,2017,3400.0
Sweden,Publicly available fast,2018,1000.0
Sweden,Publicly available slow,2018,5500.0
Sweden,Publicly available fast,2019,1200.0
Sweden,Publicly available slow,2019,7800.0
Sweden,Publicly available fast,2020,1400.0
Sweden,Publicly available slow,2020,9800.0
Sweden,Publicly available fast,2021,1700.0
Sweden,Publicly available slow,2021,12000.0
Switzerland,Publicly available fast,2012,4.0
Switzerland,Publicly available slow,2012,400.0
Switzerland,Publicly available fast,2013,27.0
Switzerland,Publicly available slow,2013,600.0
Switzerland,Publicly available fast,2014,99.0
Switzerland,Publicly available slow,2014,1300.0
Switzerland,Publicly available fast,2015,260.0
Switzerland,Publicly available slow,2015,3400.0
Switzerland,Publicly available fast,2016,350.0
Switzerland,Publicly available slow,2016,3500.0
Switzerland,Publicly available fast,2017,580.0
Switzerland,Publicly available slow,2017,3500.0
Switzerland,Publicly available fast,2018,740.0
Switzerland,Publicly available slow,2018,4400.0
Switzerland,Publicly available fast,2019,920.0
Switzerland,Publicly available slow,2019,5400.0
Switzerland,Publicly available fast,2020,1000.0
Switzerland,Publicly available slow,2020,6700.0
Switzerland,Publicly available fast,2021,1900.0
Switzerland,Publicly available slow,2021,8200.0
Thailand,Publicly available fast,2017,8.0
Thailand,Publicly available slow,2017,88.0
Thailand,Publicly available fast,2018,8.0
Thailand,Publicly available slow,2018,88.0
Thailand,Publicly available fast,2019,69.0
Thailand,Publicly available slow,2019,750.0
Thailand,Publicly available fast,2020,710.0
Thailand,Publicly available slow,2020,1200.0
Thailand,Publicly available fast,2021,770.0
Thailand,Publicly available slow,2021,1500.0
Turkiye,Publicly available fast,2013,1.0
Turkiye,Publicly available fast,2014,1.0
Turkiye,Publicly available fast,2015,7.0
Turkiye,Publicly available fast,2016,7.0
Turkiye,Publicly available slow,2016,11.0
Turkiye,Publicly available fast,2017,7.0
Turkiye,Publicly available slow,2017,69.0
Turkiye,Publicly available fast,2018,7.0
Turkiye,Publicly available slow,2018,69.0
Turkiye,Publicly available fast,2019,30.0
Turkiye,Publicly available slow,2019,150.0
Turkiye,Publicly available fast,2020,120.0
Turkiye,Publicly available slow,2020,1200.0
Turkiye,Publicly available fast,2021,180.0
Turkiye,Publicly available slow,2021,1800.0
United Kingdom,Publicly available slow,2011,1500.0
United Kingdom,Publicly available fast,2012,36.0
United Kingdom,Publicly available slow,2012,2800.0
United Kingdom,Publicly available fast,2013,260.0
United Kingdom,Publicly available slow,2013,5400.0
United Kingdom,Publicly available fast,2014,520.0
United Kingdom,Publicly available slow,2014,7200.0
United Kingdom,Publicly available fast,2015,1100.0
United Kingdom,Publicly available slow,2015,8200.0
United Kingdom,Publicly available fast,2016,1800.0
United Kingdom,Publicly available slow,2016,11000.0
United Kingdom,Publicly available fast,2017,2200.0
United Kingdom,Publicly available slow,2017,13000.0
United Kingdom,Publicly available fast,2018,2700.0
United Kingdom,Publicly available slow,2018,15000.0
United Kingdom,Publicly available fast,2019,2800.0
United Kingdom,Publicly available slow,2019,14000.0
United Kingdom,Publicly available fast,2020,3900.0
United Kingdom,Publicly available slow,2020,17000.0
United Kingdom,Publicly available fast,2021,5200.0
United Kingdom,Publicly available slow,2021,23000.0
USA,Publicly available slow,2010,480.0
USA,Publicly available slow,2011,3900.0
USA,Publicly available slow,2012,12000.0
USA,Publicly available slow,2013,15000.0
USA,Publicly available slow,2014,20000.0
USA,Publicly available fast,2015,3500.0
USA,Publicly available slow,2015,28000.0
USA,Publicly available fast,2016,3100.0
USA,Publicly available slow,2016,35000.0
USA,Publicly available fast,2017,3400.0
USA,Publicly available slow,2017,40000.0
USA,Publicly available fast,2018,4200.0
USA,Publicly available slow,2018,50000.0
USA,Publicly available fast,2019,13000.0
USA,Publicly available slow,2019,64000.0
USA,Publicly available fast,2020,17000.0
USA,Publicly available slow,2020,82000.0
USA,Publicly available fast,2021,22000.0
USA,Publicly available slow,2021,92000.0
World,Publicly available fast,2010,310.0
World,Publicly available slow,2010,3700.0
World,Publicly available slow,2011,10000.0
World,Publicly available fast,2011,830.0
World,Publicly available fast,2012,1500.0
World,Publicly available slow,2012,28000.0
World,Publicly available slow,2013,41000.0
World,Publicly available fast,2013,2600.0
World,Publicly available fast,2014,13000.0
World,Publicly available slow,2014,89000.0
World,Publicly available slow,2015,150000.0
World,Publicly available fast,2015,25000.0
World,Publicly available fast,2016,72000.0
World,Publicly available slow,2016,240000.0
World,Publicly available slow,2017,310000.0
World,Publicly available fast,2017,110000.0
World,Publicly available fast,2018,140000.0
World,Publicly available slow,2018,390000.0
World,Publicly available slow,2019,600000.0
World,Publicly available fast,2019,260000.0
World,Publicly available fast,2020,380000.0
World,Publicly available slow,2020,870000.0
World,Publicly available slow,2021,1200000.0
World,Publicly available fast,2021,560000.0
